a,h,g0,n,d_out,sensitivity_kHz_kPa,f0_MHz,linearity_R2
4.920906941607834737e-04,1.172143018715137711e-05,3.178406657795607288e-06,1.500000000000000000e+01,4.430891516442251980e-03,-3.413830095470394781e+02,1.349489591085283564e+02,9.931716821178121490e-01
5.066556114296686753e-04,1.197138473885507105e-05,4.037888719687550375e-06,1.500000000000000000e+01,3.461450316083047353e-03,-3.100692026403858677e+02,1.563050213693303192e+02,9.960460822880538023e-01
4.041296930232210374e-04,1.002753376841619961e-05,4.510450820339792517e-06,1.500000000000000000e+01,3.233632388867143520e-03,-2.343577640939489299e+02,2.097876450423469237e+02,9.988522126334695717e-01
4.778638704570477248e-04,1.071757439189868634e-05,4.637817004483922779e-06,1.300000000000000000e+01,3.153556806244312699e-03,-3.930637414350740642e+02,2.085005780625777447e+02,9.964663269283913216e-01
4.422468647964408728e-04,8.507473808742269512e-06,4.624056921459214912e-06,1.800000000000000000e+01,4.540627941141640520e-03,-4.760080519417663822e+02,1.499743491066115837e+02,9.883957611502220963e-01
4.910067966346265324e-04,1.101453830193870233e-05,3.516113474982859398e-06,1.400000000000000000e+01,3.724157340456279129e-03,-4.469980047148546305e+02,1.588277363195517751e+02,9.912650864438026233e-01
4.873584521369036734e-04,1.132387871706477928e-05,3.200669128602479229e-06,1.700000000000000000e+01,3.175005769294531131e-03,-3.554642135843266146e+02,1.297210974884770849e+02,9.917910817045026972e-01
4.284262855846968760e-04,9.532482404400276341e-06,3.044905775086763007e-06,1.800000000000000000e+01,4.899266575027579583e-03,-3.626484141039222777e+02,1.230729945704088664e+02,9.902726679469161519e-01
4.408951211312562971e-04,9.019086741810057253e-06,4.426703414496770639e-06,1.500000000000000000e+01,3.202061941467560565e-03,-4.931013768250814451e+02,1.908334335716882890e+02,9.928316128393661621e-01
4.560001994590971589e-04,1.156979174678044269e-05,3.488677474234913124e-06,1.500000000000000000e+01,4.411390820148604688e-03,-2.449877883556076767e+02,1.527449094535191989e+02,9.975159025690242265e-01
4.734872687574661265e-04,9.648585031514170867e-06,3.906331298534760709e-06,1.600000000000000000e+01,3.585555302190263516e-03,-5.364174702087044579e+02,1.531290026427969622e+02,9.852583191535205787e-01
4.369343432573006094e-04,9.906717787640578610e-06,4.663660964131104801e-06,1.600000000000000000e+01,3.449056305600408084e-03,-2.946646328603108600e+02,1.827405035510800815e+02,9.974870645280301540e-01
4.259975292684863046e-04,9.418230673711066030e-06,3.193293582147021837e-06,1.800000000000000000e+01,4.833250339990746366e-03,-3.570157863948602994e+02,1.272311124434874898e+02,9.913251511274000505e-01
4.058316486379218548e-04,1.111697304495673100e-05,3.943524139350342168e-06,1.700000000000000000e+01,3.953505531025506940e-03,-1.547193473202892733e+02,1.653651207362889863e+02,9.992089175012514035e-01
4.670490146273870093e-04,1.137033200413370654e-05,3.111076311618486830e-06,1.200000000000000000e+01,3.733004400622046224e-03,-4.075965147120090251e+02,1.831464348469687025e+02,9.948916990898756252e-01
4.542905075319066273e-04,1.044049578944289839e-05,3.555899068975581763e-06,1.300000000000000000e+01,4.483032388115411847e-03,-4.018417282437529252e+02,1.778634533687445867e+02,9.947160384775758368e-01
4.261593343583071109e-04,1.182568364282433318e-05,4.143250386908283611e-06,1.600000000000000000e+01,3.430493175792797590e-03,-1.583667072909014450e+02,1.767852904033528603e+02,9.992775693974066398e-01
4.780443814823426285e-04,1.021539584771551025e-05,4.791962438521515154e-06,1.300000000000000000e+01,3.286397020928953812e-03,-4.574819449175406589e+02,2.103050661854746011e+02,9.951462523089367185e-01
5.448118202373005781e-04,1.120742873122357242e-05,4.792874778939087724e-06,1.900000000000000000e+01,3.635480505900907499e-03,-3.766184014237451834e+02,1.237783617441945694e+02,9.895066104709343557e-01
4.432150954420341089e-04,9.428329115448148040e-06,3.172199459951551029e-06,1.600000000000000000e+01,4.643735558965706584e-03,-4.958665553805666377e+02,1.386143163348235703e+02,9.844754438856946344e-01
4.515888736375211045e-04,9.250672442893901809e-06,4.839119069235545041e-06,1.500000000000000000e+01,4.484818535457578241e-03,-4.257069888694941824e+02,1.808809288218934341e+02,9.942058306962091585e-01
4.447650219530121228e-04,1.123410265999088471e-05,4.484558350660485078e-06,1.600000000000000000e+01,3.541959643970061210e-03,-2.066174357011825009e+02,1.751065599514769815e+02,9.987115519456526425e-01
5.410903172172186774e-04,1.155395249086754307e-05,4.586258239298718297e-06,1.400000000000000000e+01,4.566285091450060854e-03,-4.284305651172010698e+02,1.567223495988772299e+02,9.918363759721501305e-01
4.355204696798537704e-04,9.320563907890183142e-06,3.987201419946475338e-06,1.500000000000000000e+01,4.845610617505692608e-03,-4.063987678512849016e+02,1.667563091393506909e+02,9.937287076892851179e-01
4.288566226290802127e-04,1.126826666768251508e-05,3.212680434875356172e-06,1.800000000000000000e+01,4.852174661362309432e-03,-1.838120342583993931e+02,1.266295371987027067e+02,9.979966146006459260e-01
4.583502285607062780e-04,8.995070065997623344e-06,4.914915173268952476e-06,1.600000000000000000e+01,3.359304687293505551e-03,-5.040158411367436315e+02,1.797478095067666573e+02,9.913397360970521710e-01
4.084839938728076873e-04,9.796280061598595755e-06,4.201076763803407349e-06,1.800000000000000000e+01,4.500087007543921921e-03,-2.141078968063488901e+02,1.551290559394570607e+02,9.982017568676414543e-01
4.406321467696208086e-04,9.144098633042719955e-06,4.842338245666827457e-06,1.500000000000000000e+01,3.664871675758250673e-03,-4.209251243919406420e+02,1.945211280343545468e+02,9.952030578949608852e-01
4.297009655299099669e-04,9.980241409005815239e-06,3.790696466367490824e-06,1.600000000000000000e+01,4.608619427676167481e-03,-2.917964527433895796e+02,1.566076595414700989e+02,9.965561546318143504e-01
5.406710156969746998e-04,9.990761507546715235e-06,4.552033261126664515e-06,1.200000000000000000e+01,3.418840635400735746e-03,-1.179466566604619175e+03,1.948696568358827221e+02,9.309101680636749920e-01
4.222817251012009158e-04,1.079523556116127267e-05,4.558576969343074242e-06,1.600000000000000000e+01,4.469630548522623634e-03,-1.847142970620946301e+02,1.761645127890426181e+02,9.989955597713490176e-01
4.850511035903219909e-04,9.974308918756401166e-06,4.462362994195265716e-06,1.600000000000000000e+01,4.756018800786448314e-03,-4.263753520660041545e+02,1.492594449247586113e+02,9.909557092736647199e-01
4.691274448846446499e-04,1.056424272451108950e-05,3.812031328453856581e-06,1.400000000000000000e+01,3.918516025552683593e-03,-3.988684457926800633e+02,1.711371865763940434e+02,9.943320839238111164e-01
4.377697840627879102e-04,1.186860305844052324e-05,4.074990787649369007e-06,1.300000000000000000e+01,3.617423197927986753e-03,-2.111296312007179381e+02,2.078141573976096197e+02,9.990599832796001056e-01
4.930082497214281810e-04,1.033160736048738521e-05,3.506826366972399080e-06,1.500000000000000000e+01,3.103817149588216848e-03,-5.943220380329689760e+02,1.527159322581309766e+02,9.808228865513982653e-01
4.820664575014876104e-04,1.065788672240572874e-05,3.659027404642874206e-06,1.700000000000000000e+01,3.589366987686834747e-03,-3.776240193616433203e+02,1.369722436603500171e+02,9.916743203464241097e-01
4.078354969222066717e-04,1.009684591323908822e-05,4.744560609889813201e-06,1.300000000000000000e+01,4.926490223397378236e-03,-2.396476927551011897e+02,2.231126003829377851e+02,9.989433318689667773e-01
5.117148041836298714e-04,1.109032504243590129e-05,4.677270868427448274e-06,1.900000000000000000e+01,3.985690725659020786e-03,-2.962004705628479542e+02,1.275538786052152602e+02,9.943788445385547403e-01
5.384236092149994159e-04,1.089159513695011873e-05,3.356313527924550860e-06,1.400000000000000000e+01,3.684942720914729467e-03,-9.577068180848220891e+02,1.418337873859309184e+02,8.943990149959825109e-01
4.471946437283611311e-04,9.710700452458332485e-06,3.634824706142448453e-06,1.600000000000000000e+01,3.913175058746555003e-03,-4.145283028610539304e+02,1.534425470625464811e+02,9.920572383677933592e-01
